bag_id,bag_name,original_timestamp_ns,relative_time_s,source_path,dest_path
bag1,2024-08-20_13-55-34,1724154939663752900,2.529,raw_processed/all_images/2024-08-20_13-55-34/1724154939663752900.jpg,solaqua_labeled_fish/images/bag1_1724154939663752900.jpg
bag1,2024-08-20_13-55-34,1724154939815898400,2.682,raw_processed/all_images/2024-08-20_13-55-34/1724154939815898400.jpg,solaqua_labeled_fish/images/bag1_1724154939815898400.jpg
bag1,2024-08-20_13-55-34,1724154939982997400,2.849,raw_processed/all_images/2024-08-20_13-55-34/1724154939982997400.jpg,solaqua_labeled_fish/images/bag1_1724154939982997400.jpg
bag1,2024-08-20_13-55-34,1724154940136635800,3.002,raw_processed/all_images/2024-08-20_13-55-34/1724154940136635800.jpg,solaqua_labeled_fish/images/bag1_1724154940136635800.jpg
bag1,2024-08-20_13-55-34,1724154940316778100,3.182,raw_processed/all_images/2024-08-20_13-55-34/1724154940316778100.jpg,solaqua_labeled_fish/images/bag1_1724154940316778100.jpg
bag1,2024-08-20_13-55-34,1724154940456608900,3.322,raw_processed/all_images/2024-08-20_13-55-34/1724154940456608900.jpg,solaqua_labeled_fish/images/bag1_1724154940456608900.jpg
bag1,2024-08-20_13-55-34,1724154940627238800,3.493,raw_processed/all_images/2024-08-20_13-55-34/1724154940627238800.jpg,solaqua_labeled_fish/images/bag1_1724154940627238800.jpg
bag1,2024-08-20_13-55-34,1724154940776255200,3.642,raw_processed/all_images/2024-08-20_13-55-34/1724154940776255200.jpg,solaqua_labeled_fish/images/bag1_1724154940776255200.jpg
bag1,2024-08-20_13-55-34,1724154940932343900,3.798,raw_processed/all_images/2024-08-20_13-55-34/1724154940932343900.jpg,solaqua_labeled_fish/images/bag1_1724154940932343900.jpg
bag1,2024-08-20_13-55-34,1724154941098489800,3.964,raw_processed/all_images/2024-08-20_13-55-34/1724154941098489800.jpg,solaqua_labeled_fish/images/bag1_1724154941098489800.jpg
bag1,2024-08-20_13-55-34,1724154967259993400,30.126,raw_processed/all_images/2024-08-20_13-55-34/1724154967259993400.jpg,solaqua_labeled_fish/images/bag1_1724154967259993400.jpg
bag1,2024-08-20_13-55-34,1724154967412693900,30.278,raw_processed/all_images/2024-08-20_13-55-34/1724154967412693900.jpg,solaqua_labeled_fish/images/bag1_1724154967412693900.jpg
